GEOID,population_density,population,median_age,below_poverty_level,median_income,average_household_size
12033003900,28.77461071,4540,48.20000076,406,51795,2.49000001
12053040101,105.5989855,4795,49.40000153,351,47898,2.279999971
12057011803,7071.943199,6675,34,1390,45981,2.369999886
12095017013,5497.130988,7553,41.20000076,1426,59793,3.380000114
12033003700,665.2924059,4462,39.90000153,252,60561,2.660000086
12086980700,245.5827033,1054,16.20000076,847,16168,5.010000229
12011041900,5642.587086,2905,48.70000076,126,93425,1.659999967
12073000905,3539.894344,3074,28.60000038,448,54563,2.049999952
12057990000,NULL,0,NULL,0,NULL,NULL
12009064601,1694.598026,7297,50.70000076,771,63884,2.430000067
12115001402,3402.249204,4736,39.90000153,264,81182,2.890000105
12095013202,4173.618409,6513,35,1386,41563,3.130000114
12097042900,2203.151939,21907,33.90000153,2506,44414,3.470000029
12009069902,2150.491669,4111,42.70000076,975,46681,2.25
12069030702,867.1248803,4999,34.20000076,713,49929,2.720000029
12033003603,253.6845193,9313,43,350,80266,2.869999886
12103027106,1513.260949,4939,56.5,276,75000,2.210000038
12011020204,7023.37838,6230,47.79999924,572,67438,2.430000067
12105012126,2880.272327,4458,42.90000153,437,64348,2.869999886
12029970101,113.9884261,5537,40.59999847,707,38616,2.50999999
12057010501,8547.203213,6450,29.70000076,1648,33699,2.839999914
12057012103,2173.303641,7966,30.10000038,2081,41827,2.890000105
12099008301,22.0581914,1857,25,1033,23214,3.599999905
12109020711,1581.822802,4841,52.79999924,293,89700,2.119999886
12101032700,228.8868209,2982,60.79999924,585,38077,2.25
12001000901,5099.940773,4403,19.39999962,310,23010,1.789999962
12031013905,3682.808005,4057,54.59999847,186,123250,2.109999895
12009062106,1956.404749,2843,49.29999924,361,45274,2.279999971
12119911500,20.76370374,2093,47.40000153,253,69844,3.029999971
12099007746,6802.672925,1156,70.19999695,248,23250,1.470000029
12095016507,4502.404616,19398,19.79999924,950,98750,3.289999962
12105012700,1328.345841,6030,36,1072,38812,2.809999943
12095016200,4612.084791,6644,41.29999924,676,68882,2.369999886
12103024301,6348.881362,4632,37.90000153,339,65890,2.779999971
12089990000,NULL,0,NULL,0,NULL,NULL
12031012500,4239.810101,4143,36.90000153,858,50804,2.519999981
12095017503,3204.093849,5913,34.20000076,1094,40798,2.609999895
12117020401,2530.357475,1816,39.5,308,44167,2.869999886
12015021001,879.4232222,1759,51.79999924,139,56667,2.430000067
12005001501,1684.055533,5690,38.90000153,463,69153,2.589999914
12115001702,3105.943393,6078,51.70000076,491,64514,2.50999999
12057002000,6860.02024,3474,36.09999847,1091,32941,3.220000029
12101031603,2563.119985,10301,33.70000076,266,104489,3.480000019
12071060203,2819.994842,1559,69,213,60833,1.879999995
12021011102,9.614637085,10671,59.5,1472,63750,2.349999905
12103023600,6648.13209,2905,48.40000153,304,41250,1.580000043
12095014904,8620.572408,7091,29,2382,34050,3.230000019
12086011101,6179.623966,8663,30.20000076,2363,35082,3.730000019
12031010402,1558.118963,4138,29.39999962,1430,30341,2.519999981
12117022104,3414.237916,6502,41.09999847,555,62542,2.650000095
12103026913,5336.090064,3214,62.70000076,545,39335,1.879999995
12086008209,2785.561311,4753,40.29999924,421,124508,3.359999895
12103025413,3676.081391,3058,53.90000153,403,43542,2.029999971
12099007760,1796.762487,4295,38.70000076,126,126000,3.319999933
12103020208,4686.37904,2345,36.59999847,284,52098,2.410000086
12081001403,2067.370738,4753,49.29999924,398,46889,2.450000048
12057011804,4921.410176,6195,40.70000076,792,45741,3.359999895
12053040910,400.5802247,4194,43,698,57258,2.799999952
12081000809,2740.270456,5057,53,425,63333,2.380000114
12001002000,49.73165114,6210,49.40000153,1028,46098,2.690000057
12086013300,12354.17089,6309,39.5,608,58151,3.430000067
12071040121,2252.770455,4026,31.10000038,607,52684,3.839999914
12095012401,9235.912497,10224,28.5,2459,41582,3.109999895
12117021321,5014.839494,3252,29.89999962,434,63828,3.049999952
12099002006,9975.29622,4926,35.40000153,863,42691,2.200000048
12069031204,643.339715,16637,42.5,1863,61601,2.880000114
12115001204,1811.968468,4346,50.90000153,398,69214,2.180000067
12057010813,13109.54445,5649,23.10000038,2483,27948,2.349999905
12031014701,4781.087842,8824,30.60000038,690,55513,2.730000019
12086010703,7435.587782,15448,36.09999847,3209,61148,3.789999962
12073001200,2243.645925,1137,22.60000038,565,27411,2.410000086
12099007725,4990.113026,6444,40.5,360,92354,3.109999895
12086004901,6225.249515,3825,41.70000076,1037,29590,2.630000114
12047960100,33.90121007,8725,38.20000076,1342,43817,2.539999962
12095013701,9963.829883,5178,32.09999847,1053,42880,2.420000076
12105011604,629.5756821,4702,41.29999924,1215,39036,2.539999962
12071070102,264.9236987,3000,60.70000076,490,52802,2.339999914
12083001402,1208.031821,5245,44.70000076,583,43561,2.170000076
12086001402,13876.74114,6409,37.29999924,2181,26850,2.819999933
12099003509,2673.409678,2556,70.69999695,218,142973,1.549999952
12086009804,6600.682683,3341,38.40000153,239,72813,3.559999943
12057013315,2543.931963,5240,30.89999962,660,63841,1.960000038
12109020400,3547.755581,3417,22.60000038,744,62536,2.529999971
12115001303,2383.498155,3256,48.79999924,244,77500,2.559999943
12011080402,3595.536516,2615,46,390,40200,2.569999933
12033003507,3007.929099,6580,34,794,45610,2.00999999
12057013912,518.8944184,5040,36.59999847,688,66579,3.660000086
12053040802,1721.706231,4412,65.90000153,339,42099,1.980000019
12095013406,7140.127156,3821,39.40000153,665,49450,2.950000048
12099005943,8927.391807,2346,73.69999695,325,32240,1.470000029
12011100202,12859.07664,4965,43.79999924,834,33381,2.019999981
12019030600,1921.517638,4471,47.59999847,139,56988,2.210000038
12117022208,6550.813761,4539,32,519,50455,2.529999971
12071030300,98.06187261,3232,53.20000076,264,92469,2.710000038
12086000126,19710.72771,2313,59.5,410,32423,1.960000038
12021010102,1191.290698,6219,59.79999924,296,81827,2.329999924
12086008804,7298.266925,7360,46.90000153,938,56042,3.319999933
12061050807,2337.547333,6061,57,560,50271,2.799999952
12101032901,1055.884138,6579,37.5,1961,43341,2.710000038
12011091901,8014.78708,3955,42.90000153,876,50272,2.190000057
12095015001,987.4999133,1890,31.5,763,37244,3.730000019
12001002220,304.571595,2292,42.79999924,489,49688,2.380000114
12095013604,8934.05542,6011,38.79999924,911,48165,2.230000019
12099005939,4349.845731,1390,71,178,27066,1.5
12033002602,369.4316709,1574,58.40000153,84,81326,1.850000024
12101031505,2703.039435,6073,40.59999847,773,51027,2.559999943
12099001909,5334.359172,2730,31.60000038,752,34904,3.019999981
12086000125,36150.87283,2930,49.40000153,316,47637,2.099999905
12081000810,1368.671787,5695,67.5,161,73083,2.029999971
12049970400,34.17741988,5480,38.29999924,1504,32768,2.690000057
12086006403,12929.65835,3574,47.70000076,755,37894,2.630000114
12031013100,1441.564493,2157,40.90000153,224,77614,2.440000057
12086014000,6.764639719,312,29.10000038,39,97679,3.470000029
12073002417,961.0676506,7784,43.5,295,136543,2.789999962
12086000214,10132.03695,6754,31.29999924,1158,39962,3.00999999
12031012703,3092.880981,5520,37.79999924,813,54936,2.960000038
12039020102,134.2933009,5692,48,1276,39965,2.210000038
12086005901,10761.9672,5476,46.09999847,769,47356,2.910000086
12011110334,4837.988943,3100,74.09999847,868,24920,1.730000019
12005002608,1400.667794,3186,48.40000153,96,91289,2.579999924
12001000806,6810.059396,2526,25.5,1001,21456,2.140000105
12071040109,4343.98688,7257,30.20000076,2779,40096,3.819999933
12117020901,4417.186534,4814,31.5,1088,38418,2.589999914
12103024200,5281.522246,5617,44.09999847,797,60977,2.549999952
12115002007,1939.201282,2402,68.59999847,243,68906,1.779999971
12105012503,807.2255693,17246,51.09999847,2977,55958,2.690000057
12071001911,338.5004247,873,72.59999847,88,68438,1.75999999
12115001401,799.9949038,8732,48.40000153,671,96761,2.940000057
12086006401,15585.68128,4058,43.59999847,660,37078,2.890000105
12015021002,859.4432807,3474,67.30000305,258,44881,2.019999981
12057011610,5483.272111,5140,42.70000076,685,35147,2.430000067
12057006101,7391.374956,3538,44.59999847,85,137813,2.24000001
12083000605,129.2236942,2694,51.20000076,786,36552,2.420000076
12081001602,437.9287798,4248,50.90000153,205,56979,2.420000076
12109990100,NULL,0,NULL,0,NULL,NULL
12011110340,6921.873491,6889,50.79999924,1108,54074,2.559999943
12057010811,6538.653426,6640,30.5,1973,46132,2.359999895
12095014301,3251.973393,5268,42.70000076,688,44436,2.75
12071010406,893.291784,6367,58.59999847,337,78889,2.299999952
12071040309,1889.161633,7740,37.79999924,1273,48319,3.380000114
12086000411,9870.840056,5418,36,1278,31120,3.269999981
12086003601,14369.30386,4608,37.59999847,2026,16276,2.190000057
12005002000,947.1229454,1408,47.40000153,298,27878,1.779999971
12083000502,14.82725237,1238,61.40000153,305,32308,2.029999971
12057013806,1442.94479,2459,32,265,70708,2.900000095
12057010105,438.7607468,4812,36,1309,53860,3.190000057
12031014329,2779.365198,3273,36.59999847,111,82589,2.890000105
12057003900,3337.377681,2193,34.70000076,850,29615,1.700000048
12117021806,6041.201128,4823,45.20000076,480,45292,1.830000043
12069030406,676.0562361,4087,52.09999847,519,46599,2.150000095
12109020601,259.8111192,4921,55.5,89,107721,2.319999933
12099001917,4504.788101,4690,31.20000076,925,44660,2.230000019
12081001104,968.6530563,4526,55.20000076,817,50202,2.160000086
12019030903,1847.384661,4273,43,598,57608,2.650000095
12071010501,3684.372271,3784,52.29999924,303,58871,2.529999971
12105014502,2818.833917,4018,30.70000076,1399,28843,3.859999895
12009065236,64.58433669,1353,57,42,74688,2.670000076
12086005501,14192.49403,7185,47.5,1604,36823,2.950000048
12033003400,1343.764612,5567,40.5,1254,45560,1.99000001
12073001402,7432.709531,5263,22.29999924,3397,19389,2.900000095
12011043001,4328.682254,1500,48.90000153,135,96304,2.410000086
12103025112,5110.609633,3543,44.09999847,251,60024,2.569999933
12105016002,2318.897632,1804,36.09999847,131,43857,3.200000048
12057013409,2810.596677,5422,37.20000076,192,97772,3.460000038
12031016801,1770.921981,2450,49,140,97768,2.720000029
12011060207,7089.697115,4224,56.09999847,392,38171,2.200000048
12011070318,2850.477305,7258,44.70000076,466,163257,3.50999999
12101030204,415.571,1227,48.90000153,171,30986,2.089999914
12011020316,5362.995459,4082,37.79999924,527,69881,2.650000095
12099000204,3353.792085,3958,44.79999924,430,57167,2.49000001
12115001908,2168.612503,1129,71.5,66,83750,1.75999999
12083001008,1565.278639,4738,69.09999847,241,48348,1.830000043
12031014311,2254.018732,5399,32.79999924,952,37860,2.549999952
12011020313,6772.431515,6809,34.79999924,1079,54943,3.25999999
12086008417,6562.223495,5319,46.79999924,1108,38790,2.200000048
12115001504,4662.047347,3079,41.59999847,359,57598,2.589999914
12101032602,1066.886114,3152,39.59999847,760,49417,2.849999905
12105011704,1537.198524,4823,27.79999924,1641,31388,3.109999895
12055961000,43.83586456,4925,57.5,836,46875,2.289999962
12011070401,4880.042579,7285,37.40000153,625,100244,3.430000067
12105010601,4279.603765,4151,39.59999847,240,59779,2.730000019
12011030703,4279.766364,4202,49.20000076,300,51866,2.089999914
12035060214,2494.323003,6927,44.40000153,335,60586,2.789999962
12083002503,662.5646378,6300,45.20000076,1315,44731,2.440000057
12011060128,13276.74456,6430,42.79999924,399,52930,2.769999981
12069031309,1431.145285,11358,37.09999847,702,64222,3.319999933
12095015901,3221.832152,2774,38,305,52697,2.150000095
12086010606,5360.791211,6876,37,617,70000,3.5
12103020206,7784.637998,4572,31.79999924,671,47052,2.25999999
12089050502,173.3493796,7546,40.59999847,368,70334,2.680000067
12086000128,6536.755812,3021,44.09999847,196,63889,2.210000038
12057006501,6618.462095,3632,40.40000153,596,48194,2.190000057
12097043100,527.758996,3946,44.70000076,168,77469,3.069999933
12083002701,124.7728451,5839,52.20000076,719,42440,2.220000029
12099007758,3692.151479,6102,41.79999924,888,66886,3
12083002401,568.1922053,5189,40.09999847,267,52170,2.519999981
12001001201,3172.128496,3471,39.5,181,65543,2.690000057
12011090301,7244.161922,2987,44.79999924,754,33378,2.450000048
12121970302,53.49543112,6559,48.29999924,876,50229,2.710000038
12087971300,665.5760985,1394,53.29999924,210,41793,1.879999995
12031016803,1930.305139,7096,50.70000076,226,94006,2.539999962
12011091300,8856.589897,4115,38.29999924,282,72070,3.430000067
12095018100,1647.705905,3043,47.09999847,340,59939,2.50999999
12101030101,371.5156104,2840,39.09999847,382,47875,2.369999886
12086000604,8542.848293,6216,47.20000076,1257,51277,3.539999962
12049970202,22.94365434,1127,48.59999847,115,62891,2.779999971
12031015300,5219.442195,3444,34.90000153,600,37660,2.450000048
12127091026,2747.819673,7293,41.09999847,1227,63965,3.140000105
12127081900,5431.380725,2946,22.10000038,1008,32050,3.130000114
12023110202,109.282547,5641,42,1859,45362,2.730000019
12127091013,1464.889,8200,37.79999924,810,52298,3.079999924
12057010212,3909.41748,5597,40.29999924,352,106200,3.00999999
12053041004,3970.338963,7263,42.09999847,483,58707,2.710000038
12053041402,2197.368318,5601,43.90000153,773,52719,2.319999933
12086000709,12401.26601,6687,49,1883,33061,3.200000048
12095017107,1672.571993,8118,39,465,120959,2.519999981
12127081700,4337.908937,7776,39.29999924,1508,35186,2.519999981
